fire_cell_quad,fire,cell,quad,tree_pix,dead_tree_pix,tree_cover,mort_cover,tree_cat,dead_cat,eco2,tvt
monument_2022_0,monument,2022,0,546,380,0.0333251953125,0.696,0-30,30-70,North Coast and Mountains,train
monument_2022_1,monument,2022,1,4851,4822,0.29608154296875,0.994,0-30,70-100,North Coast and Mountains,train
monument_2022_3,monument,2022,3,2424,1793,0.14794921875,0.7397,0-30,70-100,North Coast and Mountains,train
monument_2022_4,monument,2022,4,2754,1214,0.1680908203125,0.4408,0-30,30-70,North Coast and Mountains,train
caldor_3120_0,caldor,3120,0,8206,4927,0.5008544921875,0.6004,30-70,30-70,Sierra Nevada,train
caldor_3120_1,caldor,3120,1,9553,2105,0.58306884765625,0.2203,30-70,0-30,Sierra Nevada,train
caldor_3120_3,caldor,3120,3,9824,9575,0.599609375,0.9747,30-70,70-100,Sierra Nevada,train
caldor_3120_4,caldor,3120,4,12297,9253,0.75054931640625,0.7525,70-100,70-100,Sierra Nevada,train
camp_1287_1,camp,1287,1,2696,2337,0.16455078125,0.8668,0-30,70-100,Sierra Nevada,train
camp_1287_4,camp,1287,4,1641,1598,0.10015869140625,0.9738,0-30,70-100,Sierra Nevada,train
czulight_791_1,czulight,791,1,14159,12519,0.86419677734375,0.8842,70-100,70-100,North Coast and Mountains,train
czulight_791_3,czulight,791,3,12678,11038,0.7738037109375,0.8706,70-100,70-100,North Coast and Mountains,train
czulight_791_4,czulight,791,4,9606,5824,0.5863037109375,0.6063,30-70,30-70,North Coast and Mountains,train
stone_157_0,stone,157,0,8461,3291,0.51641845703125,0.389,30-70,30-70,North Coast and Mountains,train
stone_157_1,stone,157,1,9778,5664,0.5968017578125,0.5793,30-70,30-70,North Coast and Mountains,train
stone_157_4,stone,157,4,7915,7187,0.48309326171875,0.908,30-70,70-100,North Coast and Mountains,train
camp_1456_1,camp,1456,1,12324,36,0.752197265625,0.0029,70-100,0-30,Sierra Nevada,train
camp_1456_3,camp,1456,3,12551,0,0.76605224609375,0.0,70-100,0-30,Sierra Nevada,train
camp_1456_4,camp,1456,4,13143,0,0.80218505859375,0.0,70-100,0-30,Sierra Nevada,train
camp_1330_4,camp,1330,4,4132,3396,0.252197265625,0.8219,0-30,70-100,Sierra Nevada,train
northcomplex_1206_0,northcomplex,1206,0,442,404,0.0269775390625,0.914,0-30,70-100,Sierra Nevada,train
northcomplex_1206_1,northcomplex,1206,1,1659,1659,0.10125732421875,1.0,0-30,70-100,Sierra Nevada,train
northcomplex_1206_3,northcomplex,1206,3,2345,2044,0.14312744140625,0.8716,0-30,70-100,Sierra Nevada,train
northcomplex_1206_4,northcomplex,1206,4,4734,4734,0.2889404296875,1.0,0-30,70-100,Sierra Nevada,train
dixie_3404_0,dixie,3404,0,454,207,0.0277099609375,0.4559,0-30,30-70,North Coast and Mountains,train
dixie_3404_1,dixie,3404,1,2596,1251,0.158447265625,0.4819,0-30,30-70,North Coast and Mountains,train
dixie_3404_3,dixie,3404,3,4780,507,0.291748046875,0.1061,0-30,0-30,North Coast and Mountains,train
dixie_3404_4,dixie,3404,4,6536,4097,0.39892578125,0.6268,30-70,30-70,North Coast and Mountains,train
river_125_0,river,125,0,4500,4383,0.274658203125,0.974,0-30,70-100,Central Foothills,train
river_125_4,river,125,4,5301,527,0.32354736328125,0.0994,30-70,0-30,Central Foothills,train
caldor_1681_0,caldor,1681,0,10149,0,0.61944580078125,0.0,30-70,0-30,Sierra Nevada,train
caldor_1681_1,caldor,1681,1,8013,0,0.48907470703125,0.0,30-70,0-30,Sierra Nevada,train
caldor_1681_3,caldor,1681,3,11863,191,0.72406005859375,0.0161,70-100,0-30,Sierra Nevada,train
caldor_1681_4,caldor,1681,4,10979,0,0.67010498046875,0.0,30-70,0-30,Sierra Nevada,train
ranch_1942_0,ranch,1942,0,9867,5365,0.60223388671875,0.5437,30-70,30-70,North Coast and Mountains,train
ranch_1942_3,ranch,1942,3,9825,2474,0.59967041015625,0.2518,30-70,0-30,North Coast and Mountains,train
ranch_1942_4,ranch,1942,4,6415,4943,0.39154052734375,0.7705,30-70,70-100,North Coast and Mountains,train
caldor_1871_0,caldor,1871,0,11215,11215,0.68450927734375,1.0,30-70,70-100,Sierra Nevada,train
caldor_1871_1,caldor,1871,1,12141,12131,0.74102783203125,0.9992,70-100,70-100,Sierra Nevada,train
caldor_1871_4,caldor,1871,4,10518,10518,0.6419677734375,1.0,30-70,70-100,Sierra Nevada,train
czulight_431_1,czulight,431,1,12397,11017,0.75665283203125,0.8887,70-100,70-100,North Coast and Mountains,train
czulight_431_4,czulight,431,4,15278,2720,0.9324951171875,0.178,70-100,0-30,North Coast and Mountains,train
bobcat_1584_0,bobcat,1584,0,4846,0,0.2957763671875,0.0,0-30,0-30,South Coast and Mountains,train
bobcat_1584_1,bobcat,1584,1,6666,0,0.4068603515625,0.0,30-70,0-30,South Coast and Mountains,train
bobcat_1584_4,bobcat,1584,4,7155,0,0.43670654296875,0.0,30-70,0-30,South Coast and Mountains,train
camp_1292_1,camp,1292,1,6149,3462,0.37530517578125,0.563,30-70,30-70,Sierra Nevada,train
camp_1292_4,camp,1292,4,6290,3120,0.3839111328125,0.496,30-70,30-70,Sierra Nevada,train
ranch_2640_0,ranch,2640,0,13165,13121,0.80352783203125,0.9967,70-100,70-100,North Coast and Mountains,train
ranch_2640_1,ranch,2640,1,9187,9142,0.56072998046875,0.9951,30-70,70-100,North Coast and Mountains,train
ranch_2640_3,ranch,2640,3,11757,11757,0.71759033203125,1.0,70-100,70-100,North Coast and Mountains,train
ranch_2640_4,ranch,2640,4,9807,9807,0.59857177734375,1.0,30-70,70-100,North Coast and Mountains,train
dixie_3559_0,dixie,3559,0,8221,8221,0.50177001953125,1.0,30-70,70-100,North Coast and Mountains,train
dixie_3559_1,dixie,3559,1,9272,9215,0.56591796875,0.9939,30-70,70-100,North Coast and Mountains,train
dixie_3559_3,dixie,3559,3,6908,6908,0.421630859375,1.0,30-70,70-100,North Coast and Mountains,train
dixie_3559_4,dixie,3559,4,5004,1549,0.305419921875,0.3096,30-70,30-70,North Coast and Mountains,train
camp_1721_0,camp,1721,0,10049,0,0.61334228515625,0.0,30-70,0-30,Sierra Nevada,train
camp_1721_1,camp,1721,1,7274,338,0.4439697265625,0.0465,30-70,0-30,Sierra Nevada,train
camp_1721_4,camp,1721,4,12022,0,0.7337646484375,0.0,70-100,0-30,Sierra Nevada,train
bobcat_1341_4,bobcat,1341,4,12601,4353,0.76910400390625,0.3454,70-100,30-70,South Coast and Mountains,train
czulight_579_0,czulight,579,0,15665,15665,0.95611572265625,1.0,70-100,70-100,North Coast and Mountains,train
czulight_579_1,czulight,579,1,15559,15115,0.94964599609375,0.9715,70-100,70-100,North Coast and Mountains,train
czulight_579_4,czulight,579,4,14322,13215,0.8741455078125,0.9227,70-100,70-100,North Coast and Mountains,train
czulight_569_1,czulight,569,1,12267,8257,0.74871826171875,0.6731,70-100,30-70,North Coast and Mountains,train
czulight_569_3,czulight,569,3,15531,12659,0.94793701171875,0.8151,70-100,70-100,North Coast and Mountains,train
northcomplex_3212_1,northcomplex,3212,1,13007,8390,0.79388427734375,0.645,70-100,30-70,Sierra Nevada,train
northcomplex_3212_4,northcomplex,3212,4,13776,11271,0.8408203125,0.8182,70-100,70-100,Sierra Nevada,train
bobcat_427_1,bobcat,427,1,9237,3578,0.56378173828125,0.3874,30-70,30-70,South Coast and Mountains,train
eldorado_197_0,eldorado,197,0,12922,4645,0.7886962890625,0.3595,70-100,30-70,South Coast and Mountains,train
eldorado_197_3,eldorado,197,3,14507,0,0.88543701171875,0.0,70-100,0-30,South Coast and Mountains,train
eldorado_197_4,eldorado,197,4,13894,64,0.8480224609375,0.0046,70-100,0-30,South Coast and Mountains,train
dixie_4193_0,dixie,4193,0,7578,7578,0.4625244140625,1.0,30-70,70-100,North Coast and Mountains,train
dixie_4193_1,dixie,4193,1,642,642,0.0391845703125,1.0,0-30,70-100,North Coast and Mountains,train
dixie_4193_3,dixie,4193,3,815,815,0.04974365234375,1.0,0-30,70-100,North Coast and Mountains,train
dixie_4193_4,dixie,4193,4,3,0,0.00018310546875,0.0,0-30,0-30,North Coast and Mountains,train
stone_387_0,stone,387,0,3768,1891,0.22998046875,0.5019,0-30,30-70,North Coast and Mountains,train
stone_387_1,stone,387,1,1642,930,0.1002197265625,0.5664,0-30,30-70,North Coast and Mountains,train
stone_387_3,stone,387,3,5333,2276,0.32550048828125,0.4268,30-70,30-70,North Coast and Mountains,train
stone_387_4,stone,387,4,3711,1039,0.22650146484375,0.28,0-30,0-30,North Coast and Mountains,train
camp_976_0,camp,976,0,13880,6154,0.84716796875,0.4434,70-100,30-70,Sierra Nevada,train
camp_976_1,camp,976,1,11586,9211,0.7071533203125,0.795,70-100,70-100,Sierra Nevada,train
camp_976_4,camp,976,4,12444,3513,0.759521484375,0.2823,70-100,0-30,Sierra Nevada,train
camp_1122_3,camp,1122,3,6161,2707,0.37603759765625,0.4394,30-70,30-70,Sierra Nevada,train
camp_1122_4,camp,1122,4,4891,4112,0.29852294921875,0.8407,0-30,70-100,Sierra Nevada,train
dixie_2736_0,dixie,2736,0,6561,6561,0.40045166015625,1.0,30-70,70-100,North Coast and Mountains,train
dixie_2736_1,dixie,2736,1,11365,11340,0.69366455078125,0.9978,30-70,70-100,North Coast and Mountains,train
dixie_2736_3,dixie,2736,3,3869,3077,0.23614501953125,0.7953,0-30,70-100,North Coast and Mountains,train
dixie_2736_4,dixie,2736,4,5925,2402,0.36163330078125,0.4054,30-70,30-70,North Coast and Mountains,train
dixie_329_1,dixie,329,1,194,0,0.0118408203125,0.0,0-30,0-30,North Coast and Mountains,train
dixie_329_3,dixie,329,3,868,76,0.052978515625,0.0876,0-30,0-30,North Coast and Mountains,train
dixie_329_4,dixie,329,4,67,0,0.00408935546875,0.0,0-30,0-30,North Coast and Mountains,train
camp_1687_0,camp,1687,0,15660,7700,0.955810546875,0.4917,70-100,30-70,Sierra Nevada,train
camp_1687_1,camp,1687,1,15623,8852,0.95355224609375,0.5666,70-100,30-70,Sierra Nevada,train
camp_1687_3,camp,1687,3,15398,6320,0.9398193359375,0.4104,70-100,30-70,Sierra Nevada,train
camp_1687_4,camp,1687,4,15778,4836,0.9630126953125,0.3065,70-100,30-70,Sierra Nevada,train
ranch_2241_0,ranch,2241,0,11600,1798,0.7080078125,0.155,70-100,0-30,Central Foothills,train
ranch_2241_1,ranch,2241,1,9881,2450,0.60308837890625,0.248,30-70,0-30,Central Foothills,train
ranch_2241_3,ranch,2241,3,7219,261,0.44061279296875,0.0362,30-70,0-30,Central Foothills,train
ranch_2241_4,ranch,2241,4,12272,3227,0.7490234375,0.263,70-100,0-30,Central Foothills,train
stone_153_1,stone,153,1,4371,3916,0.26678466796875,0.8959,0-30,70-100,North Coast and Mountains,train
stone_153_3,stone,153,3,4006,2926,0.2445068359375,0.7304,0-30,70-100,North Coast and Mountains,train
bobcat_383_4,bobcat,383,4,14970,407,0.9136962890625,0.0272,70-100,0-30,South Coast and Mountains,train
ranch_1370_0,ranch,1370,0,4976,4910,0.3037109375,0.9867,30-70,70-100,Central Foothills,train
ranch_1370_3,ranch,1370,3,4211,3305,0.25701904296875,0.7848,0-30,70-100,Central Foothills,train
ranch_1370_4,ranch,1370,4,6775,5116,0.41351318359375,0.7551,30-70,70-100,Central Foothills,train
czulight_756_3,czulight,756,3,12993,8306,0.79302978515625,0.6393,70-100,30-70,North Coast and Mountains,train
eldorado_343_0,eldorado,343,0,3767,353,0.22991943359375,0.0937,0-30,0-30,South Coast and Mountains,train
eldorado_343_1,eldorado,343,1,4104,883,0.25048828125,0.2152,0-30,0-30,South Coast and Mountains,train
ranch_1614_0,ranch,1614,0,10120,2468,0.61767578125,0.2439,30-70,0-30,Central Foothills,train
camp_1903_0,camp,1903,0,11849,1696,0.72320556640625,0.1431,70-100,0-30,Sierra Nevada,train
camp_1903_1,camp,1903,1,11326,1205,0.6912841796875,0.1064,30-70,0-30,Sierra Nevada,train
camp_1903_3,camp,1903,3,11304,3960,0.68994140625,0.3503,30-70,30-70,Sierra Nevada,train
camp_1903_4,camp,1903,4,11378,857,0.6944580078125,0.0753,30-70,0-30,Sierra Nevada,train
camp_1732_1,camp,1732,1,15936,8112,0.97265625,0.509,70-100,30-70,Sierra Nevada,train
camp_1732_3,camp,1732,3,15983,10921,0.97552490234375,0.6833,70-100,30-70,Sierra Nevada,train
camp_1732_4,camp,1732,4,15624,5105,0.95361328125,0.3267,70-100,30-70,Sierra Nevada,train
dixie_4972_0,dixie,4972,0,6038,5549,0.3685302734375,0.919,30-70,70-100,Sierra Nevada,train
dixie_4972_1,dixie,4972,1,6475,5025,0.39520263671875,0.7761,30-70,70-100,Sierra Nevada,train
dixie_4972_3,dixie,4972,3,4627,3836,0.28240966796875,0.829,0-30,70-100,Sierra Nevada,train
dixie_4972_4,dixie,4972,4,4291,3687,0.26190185546875,0.8592,0-30,70-100,Sierra Nevada,train
ranch_2109_0,ranch,2109,0,14479,10815,0.88372802734375,0.7469,70-100,70-100,North Coast and Mountains,train
ranch_2109_1,ranch,2109,1,14449,8754,0.88189697265625,0.6059,70-100,30-70,North Coast and Mountains,train
bobcat_381_1,bobcat,381,1,14287,3072,0.87200927734375,0.215,70-100,0-30,South Coast and Mountains,train
monument_1842_0,monument,1842,0,7919,116,0.48333740234375,0.0146,30-70,0-30,North Coast and Mountains,train
monument_1842_1,monument,1842,1,14639,170,0.89349365234375,0.0116,70-100,0-30,North Coast and Mountains,train
monument_1842_3,monument,1842,3,304,287,0.0185546875,0.9441,0-30,70-100,North Coast and Mountains,train
monument_1842_4,monument,1842,4,1093,396,0.06671142578125,0.3623,0-30,30-70,North Coast and Mountains,train
creek_2117_1,creek,2117,1,4053,2403,0.24737548828125,0.5929,0-30,30-70,Sierra Nevada,train
creek_2117_4,creek,2117,4,7780,2886,0.474853515625,0.371,30-70,30-70,Sierra Nevada,train
camp_1647_0,camp,1647,0,15184,9111,0.9267578125,0.6,70-100,30-70,Sierra Nevada,train
camp_1647_1,camp,1647,1,15700,9252,0.958251953125,0.5893,70-100,30-70,Sierra Nevada,train
camp_1647_3,camp,1647,3,13832,11282,0.84423828125,0.8156,70-100,70-100,Sierra Nevada,train
eldorado_220_0,eldorado,220,0,8592,8532,0.5244140625,0.993,30-70,70-100,South Coast and Mountains,train
eldorado_220_3,eldorado,220,3,10328,5563,0.63037109375,0.5386,30-70,30-70,South Coast and Mountains,train
northcomplex_819_0,northcomplex,819,0,14522,14522,0.8863525390625,1.0,70-100,70-100,Sierra Nevada,train
northcomplex_819_1,northcomplex,819,1,15482,15482,0.9449462890625,1.0,70-100,70-100,Sierra Nevada,train
northcomplex_819_3,northcomplex,819,3,14676,14676,0.895751953125,1.0,70-100,70-100,Sierra Nevada,train
northcomplex_819_4,northcomplex,819,4,14654,14654,0.8944091796875,1.0,70-100,70-100,Sierra Nevada,train
river_283_0,river,283,0,5110,5028,0.3118896484375,0.984,30-70,70-100,Central Foothills,train
czulight_594_0,czulight,594,0,52,14,0.003173828125,0.2692,0-30,0-30,North Coast and Mountains,train
czulight_594_1,czulight,594,1,1366,829,0.0833740234375,0.6069,0-30,30-70,North Coast and Mountains,train
czulight_594_3,czulight,594,3,4999,0,0.30511474609375,0.0,30-70,0-30,North Coast and Mountains,train
camp_1069_1,camp,1069,1,11761,8201,0.71783447265625,0.6973,70-100,30-70,Sierra Nevada,train
camp_1069_3,camp,1069,3,13433,8549,0.81988525390625,0.6364,70-100,30-70,Sierra Nevada,train
camp_1069_4,camp,1069,4,14912,9627,0.91015625,0.6456,70-100,30-70,Sierra Nevada,train
dolan_1618_0,dolan,1618,0,12377,0,0.75543212890625,0.0,70-100,0-30,Central Foothills,train
dolan_1618_3,dolan,1618,3,9155,16,0.55877685546875,0.0017,30-70,0-30,Central Foothills,train
dolan_1618_4,dolan,1618,4,8604,319,0.525146484375,0.0371,30-70,0-30,Central Foothills,train
camp_1064_0,camp,1064,0,11666,9682,0.7120361328125,0.8299,70-100,70-100,Sierra Nevada,train
camp_1064_1,camp,1064,1,7752,7417,0.47314453125,0.9568,30-70,70-100,Sierra Nevada,train
camp_1064_3,camp,1064,3,15048,5047,0.91845703125,0.3354,70-100,30-70,Sierra Nevada,train
camp_1064_4,camp,1064,4,14704,14375,0.8974609375,0.9776,70-100,70-100,Sierra Nevada,train
slater_187_1,slater,187,1,15302,464,0.9339599609375,0.0303,70-100,0-30,North Coast and Mountains,train
slater_187_3,slater,187,3,12207,2014,0.74505615234375,0.165,70-100,0-30,North Coast and Mountains,train
slater_187_4,slater,187,4,13562,3929,0.8277587890625,0.2897,70-100,0-30,North Coast and Mountains,train
monument_1906_0,monument,1906,0,1034,1034,0.0631103515625,1.0,0-30,70-100,North Coast and Mountains,train
monument_1906_1,monument,1906,1,224,200,0.013671875,0.8929,0-30,70-100,North Coast and Mountains,train
monument_1906_3,monument,1906,3,744,744,0.04541015625,1.0,0-30,70-100,North Coast and Mountains,train
monument_1906_4,monument,1906,4,138,102,0.0084228515625,0.7391,0-30,70-100,North Coast and Mountains,train
ranch_2688_0,ranch,2688,0,11868,7259,0.724365234375,0.6116,70-100,30-70,North Coast and Mountains,train
ranch_2688_4,ranch,2688,4,13559,3442,0.82757568359375,0.2539,70-100,0-30,North Coast and Mountains,train
caldor_2624_1,caldor,2624,1,8682,6321,0.5299072265625,0.7281,30-70,70-100,Sierra Nevada,train
caldor_2624_4,caldor,2624,4,10917,8725,0.66632080078125,0.7992,30-70,70-100,Sierra Nevada,train
monument_2412_0,monument,2412,0,34,0,0.0020751953125,0.0,0-30,0-30,North Coast and Mountains,train
monument_2412_1,monument,2412,1,2145,463,0.13092041015625,0.2159,0-30,0-30,North Coast and Mountains,train
monument_2412_4,monument,2412,4,2789,272,0.17022705078125,0.0975,0-30,0-30,North Coast and Mountains,train
creek_2330_0,creek,2330,0,8416,105,0.513671875,0.0125,30-70,0-30,Sierra Nevada,train
creek_2330_1,creek,2330,1,8966,73,0.5472412109375,0.0081,30-70,0-30,Sierra Nevada,train
creek_2330_3,creek,2330,3,3465,241,0.21148681640625,0.0696,0-30,0-30,Sierra Nevada,train
creek_2330_4,creek,2330,4,8759,68,0.53460693359375,0.0078,30-70,0-30,Sierra Nevada,train
alisal_106_0,alisal,106,0,9562,0,0.5836181640625,0.0,30-70,0-30,South Coast and Mountains,train
alisal_106_3,alisal,106,3,12007,0,0.73284912109375,0.0,70-100,0-30,South Coast and Mountains,train
alisal_106_4,alisal,106,4,7523,0,0.45916748046875,0.0,30-70,0-30,South Coast and Mountains,train
stone_363_0,stone,363,0,1403,771,0.08563232421875,0.5495,0-30,30-70,North Coast and Mountains,train
stone_363_1,stone,363,1,677,19,0.04132080078125,0.0281,0-30,0-30,North Coast and Mountains,train
stone_363_3,stone,363,3,413,2,0.02520751953125,0.0048,0-30,0-30,North Coast and Mountains,train
stone_363_4,stone,363,4,985,0,0.06011962890625,0.0,0-30,0-30,North Coast and Mountains,train
creek_1361_0,creek,1361,0,7375,7375,0.45013427734375,1.0,30-70,70-100,Sierra Nevada,train
creek_1361_1,creek,1361,1,5773,5773,0.35235595703125,1.0,30-70,70-100,Sierra Nevada,train
creek_1361_3,creek,1361,3,7520,7520,0.458984375,1.0,30-70,70-100,Sierra Nevada,train
creek_1361_4,creek,1361,4,8171,8171,0.49871826171875,1.0,30-70,70-100,Sierra Nevada,train
caldor_3063_0,caldor,3063,0,5610,390,0.3424072265625,0.0695,30-70,0-30,Sierra Nevada,train
caldor_3063_1,caldor,3063,1,3699,178,0.22576904296875,0.0481,0-30,0-30,Sierra Nevada,train
caldor_3063_3,caldor,3063,3,5872,225,0.3583984375,0.0383,30-70,0-30,Sierra Nevada,train
caldor_3063_4,caldor,3063,4,2813,93,0.17169189453125,0.0331,0-30,0-30,Sierra Nevada,train
ranch_1009_3,ranch,1009,3,6207,0,0.37884521484375,0.0,30-70,0-30,Central Foothills,train
ranch_1009_4,ranch,1009,4,3644,0,0.222412109375,0.0,0-30,0-30,Central Foothills,train
northcomplex_961_1,northcomplex,961,1,14063,8421,0.85833740234375,0.5988,70-100,30-70,Sierra Nevada,train
northcomplex_961_3,northcomplex,961,3,13390,13390,0.8172607421875,1.0,70-100,70-100,Sierra Nevada,train
camp_1501_0,camp,1501,0,10233,0,0.62457275390625,0.0,30-70,0-30,Sierra Nevada,train
camp_1501_3,camp,1501,3,10327,0,0.63031005859375,0.0,30-70,0-30,Sierra Nevada,train
czulight_567_0,czulight,567,0,3841,3841,0.23443603515625,1.0,0-30,70-100,North Coast and Mountains,train
czulight_567_1,czulight,567,1,906,906,0.0552978515625,1.0,0-30,70-100,North Coast and Mountains,train
czulight_567_4,czulight,567,4,1772,1772,0.108154296875,1.0,0-30,70-100,North Coast and Mountains,train
dixie_250_1,dixie,250,1,2204,2204,0.134521484375,1.0,0-30,70-100,North Coast and Mountains,train
dixie_250_3,dixie,250,3,6991,3181,0.42669677734375,0.455,30-70,30-70,North Coast and Mountains,train
dixie_250_4,dixie,250,4,9897,8888,0.60406494140625,0.898,30-70,70-100,North Coast and Mountains,train
czulight_559_0,czulight,559,0,6551,579,0.39984130859375,0.0884,30-70,0-30,North Coast and Mountains,train
czulight_559_1,czulight,559,1,7657,3085,0.46734619140625,0.4029,30-70,30-70,North Coast and Mountains,train
czulight_559_3,czulight,559,3,8369,6719,0.51080322265625,0.8028,30-70,70-100,North Coast and Mountains,train
czulight_559_4,czulight,559,4,10853,7824,0.66241455078125,0.7209,30-70,70-100,North Coast and Mountains,train
dixie_3237_0,dixie,3237,0,462,346,0.0281982421875,0.7489,0-30,70-100,Sierra Nevada,train
dixie_3237_1,dixie,3237,1,1559,444,0.09515380859375,0.2848,0-30,0-30,Sierra Nevada,train
dixie_3237_3,dixie,3237,3,804,390,0.049072265625,0.4851,0-30,30-70,Sierra Nevada,train
dixie_3237_4,dixie,3237,4,2227,440,0.13592529296875,0.1976,0-30,0-30,Sierra Nevada,train
dixie_287_0,dixie,287,0,8714,64,0.5318603515625,0.0073,30-70,0-30,North Coast and Mountains,train
dixie_287_1,dixie,287,1,7992,13,0.48779296875,0.0016,30-70,0-30,North Coast and Mountains,train
dixie_287_3,dixie,287,3,8149,8,0.49737548828125,0.001,30-70,0-30,North Coast and Mountains,train
dixie_287_4,dixie,287,4,6225,61,0.37994384765625,0.0098,30-70,0-30,North Coast and Mountains,train
northcomplex_817_0,northcomplex,817,0,16024,16024,0.97802734375,1.0,70-100,70-100,Sierra Nevada,train
northcomplex_817_1,northcomplex,817,1,15543,15543,0.94866943359375,1.0,70-100,70-100,Sierra Nevada,train
northcomplex_817_3,northcomplex,817,3,15823,15823,0.96575927734375,1.0,70-100,70-100,Sierra Nevada,train
northcomplex_817_4,northcomplex,817,4,15847,15847,0.96722412109375,1.0,70-100,70-100,Sierra Nevada,train
monument_2571_1,monument,2571,1,13906,13906,0.8487548828125,1.0,70-100,70-100,North Coast and Mountains,train
river_528_0,river,528,0,1811,1792,0.11053466796875,0.9895,0-30,70-100,Central Foothills,train
northcomplex_630_0,northcomplex,630,0,15153,15115,0.92486572265625,0.9975,70-100,70-100,Sierra Nevada,train
northcomplex_630_1,northcomplex,630,1,11731,11623,0.71600341796875,0.9908,70-100,70-100,Sierra Nevada,train
northcomplex_630_3,northcomplex,630,3,12014,12014,0.7332763671875,1.0,70-100,70-100,Sierra Nevada,train
northcomplex_630_4,northcomplex,630,4,14398,14398,0.8787841796875,1.0,70-100,70-100,Sierra Nevada,train
dixie_4835_0,dixie,4835,0,1247,1013,0.07611083984375,0.8123,0-30,70-100,Sierra Nevada,train
dixie_4835_1,dixie,4835,1,2612,2538,0.159423828125,0.9717,0-30,70-100,Sierra Nevada,train
dixie_4835_3,dixie,4835,3,4989,4790,0.30450439453125,0.9601,30-70,70-100,Sierra Nevada,train
dixie_4835_4,dixie,4835,4,3746,3667,0.2286376953125,0.9789,0-30,70-100,Sierra Nevada,train
ranch_2728_0,ranch,2728,0,10560,1817,0.64453125,0.1721,30-70,0-30,Central Foothills,train
ranch_2728_1,ranch,2728,1,9200,1263,0.5615234375,0.1373,30-70,0-30,Central Foothills,train
ranch_2728_3,ranch,2728,3,5621,2362,0.34307861328125,0.4202,30-70,30-70,Central Foothills,train
ranch_2728_4,ranch,2728,4,6284,5977,0.383544921875,0.9511,30-70,70-100,Central Foothills,train
caldor_2425_0,caldor,2425,0,10361,4616,0.63238525390625,0.4455,30-70,30-70,Sierra Nevada,train
caldor_2425_3,caldor,2425,3,9872,2934,0.6025390625,0.2972,30-70,0-30,Sierra Nevada,train
caldor_2425_4,caldor,2425,4,10960,1197,0.6689453125,0.1092,30-70,0-30,Sierra Nevada,train
dixie_318_0,dixie,318,0,7052,491,0.430419921875,0.0696,30-70,0-30,North Coast and Mountains,train
dixie_318_4,dixie,318,4,7048,3039,0.43017578125,0.4312,30-70,30-70,North Coast and Mountains,train
ranch_2502_0,ranch,2502,0,7112,1781,0.43408203125,0.2504,30-70,0-30,North Coast and Mountains,train
ranch_2502_1,ranch,2502,1,7093,6413,0.43292236328125,0.9041,30-70,70-100,North Coast and Mountains,train
ranch_2502_3,ranch,2502,3,5192,2869,0.31689453125,0.5526,30-70,30-70,North Coast and Mountains,train
ranch_2502_4,ranch,2502,4,6333,4417,0.38653564453125,0.6975,30-70,30-70,North Coast and Mountains,train
slater_219_0,slater,219,0,5689,2256,0.34722900390625,0.3966,30-70,30-70,North Coast and Mountains,train
slater_219_1,slater,219,1,1192,718,0.07275390625,0.6023,0-30,30-70,North Coast and Mountains,train
slater_219_4,slater,219,4,5617,4392,0.34283447265625,0.7819,30-70,70-100,North Coast and Mountains,train
czulight_388_0,czulight,388,0,10264,10264,0.62646484375,1.0,30-70,70-100,North Coast and Mountains,train
czulight_388_1,czulight,388,1,15754,15400,0.9615478515625,0.9775,70-100,70-100,North Coast and Mountains,train
czulight_388_3,czulight,388,3,7575,7575,0.46234130859375,1.0,30-70,70-100,North Coast and Mountains,train
czulight_388_4,czulight,388,4,15628,15148,0.953857421875,0.9693,70-100,70-100,North Coast and Mountains,train
camp_1648_4,camp,1648,4,15593,5296,0.95172119140625,0.3396,70-100,30-70,Sierra Nevada,train
ranch_2098_1,ranch,2098,1,12238,2824,0.7469482421875,0.2308,70-100,0-30,Central Foothills,train
ranch_2098_3,ranch,2098,3,11957,1767,0.72979736328125,0.1478,70-100,0-30,Central Foothills,train
ranch_2098_4,ranch,2098,4,7675,3031,0.46844482421875,0.3949,30-70,30-70,Central Foothills,train
czulight_799_0,czulight,799,0,13162,2074,0.8033447265625,0.1576,70-100,0-30,North Coast and Mountains,train
czulight_799_1,czulight,799,1,8985,6362,0.54840087890625,0.7081,30-70,70-100,North Coast and Mountains,train
czulight_799_4,czulight,799,4,10535,5678,0.64300537109375,0.539,30-70,30-70,North Coast and Mountains,train
dolan_971_0,dolan,971,0,3241,3035,0.19781494140625,0.9364,0-30,70-100,Central Foothills,train
slater_378_0,slater,378,0,10178,477,0.6212158203125,0.0469,30-70,0-30,North Coast and Mountains,train
slater_378_1,slater,378,1,7785,0,0.47515869140625,0.0,30-70,0-30,North Coast and Mountains,train
slater_378_3,slater,378,3,10427,0,0.63641357421875,0.0,30-70,0-30,North Coast and Mountains,train
slater_378_4,slater,378,4,7745,0,0.47271728515625,0.0,30-70,0-30,North Coast and Mountains,train
czulight_1078_0,czulight,1078,0,15353,0,0.93707275390625,0.0,70-100,0-30,North Coast and Mountains,train
czulight_1078_1,czulight,1078,1,15423,68,0.94134521484375,0.0044,70-100,0-30,North Coast and Mountains,train
czulight_1078_3,czulight,1078,3,15332,120,0.935791015625,0.0078,70-100,0-30,North Coast and Mountains,train
